Followers,Following,Following/Followers,Posts,Posts/Followers,Bio,Profile Picture,External Link,Mutual Friends,Threads,Labels
5434,2176,0.400441664,2268,5663.746324,yes,Yes,Yes,5,N,Real
28,2814,100.5,0,0,N,Yes,N,0,N,Bot
38,2078,54.68421053,0,0,N,N,N,0,N,Bot
6224,197,0.031651671,2386,75383.06599,N,Yes,Yes,15,Yes,Real
435,636,1.462068966,1106,756.4622642,yes,N,Yes,9,Yes,Real
7,556,79.42857143,3,0.037769784,N,Yes,N,0,N,Scam
6,680,113.3333333,4,0.035294118,Yes,Yes,N,0,N,Scam
3,68,22.66666667,2,0.088235294,N,Yes,N,0,N,Scam
41743,911,0.021824018,174,7972.867179,N,Yes,N,5,Yes,Spam
5,660,132,2,0.015151515,Yes,N,N,0,N,Scam
21,3817,181.7619048,0,0,N,N,N,0,N,Bot
2,432,216,0,0,Yes,N,N,0,N,Scam
11975,1305,0.108977035,2346,21527.47126,yes,N,Yes,6,N,Real
44,289,6.568181818,0,0,N,N,N,0,N,Bot
4307,1474,0.342233573,1612,4710.233379,N,Yes,N,10,N,Real
5,643,128.6,4,0.031104199,N,N,N,0,N,Scam
2,119,59.5,3,0.050420168,Yes,Yes,N,0,N,Scam
7,16,2.285714286,2,0.875,Yes,N,N,0,N,Scam
1348,211,0.15652819,1916,12240.60664,Yes,N,N,15,Yes,Real
16811,1573,0.093569687,1800,19236.99936,N,N,Yes,15,N,Real
28,6566,234.5,0,0,N,N,N,0,N,Bot
150994,164,0.001086136,325,299225.9146,Yes,Yes,Yes,7,Yes,Spam
2,16,8,1,0.125,N,Yes,N,0,N,Scam
42,2077,49.45238095,1,0.020221473,N,Yes,N,0,N,Bot
13874,8,0.000576618,237,411017.25,Yes,Yes,Yes,7,Yes,Spam
116557,976,0.008373585,470,56128.8832,N,Yes,Yes,2,Yes,Spam
91979,721,0.007838746,479,61106.71429,Yes,N,Yes,8,Yes,Spam
7930,69,0.008701135,1404,161358.2609,Yes,Yes,N,7,N,Real
8863,658,0.074241228,1479,19921.54559,yes,N,Yes,2,N,Real
119121,495,0.004155439,224,53905.26061,Yes,Yes,Yes,6,N,Spam
4,700,175,3,0.017142857,Yes,Yes,N,0,N,Scam
0,538,#DIV/0!,1,#DIV/0!,Yes,Yes,N,0,N,Scam
19,5626,296.1052632,1,0.003377177,N,Yes,N,0,N,Bot
8,5946,743.25,2,0.002690885,N,Yes,N,0,N,Bot
74796,554,0.007406813,386,52114.18051,N,N,N,7,N,Spam
0,613,#DIV/0!,3,#DIV/0!,Yes,N,N,0,N,Scam
144085,594,0.004122567,439,106487.0623,Yes,N,Yes,3,N,Spam
11,1389,126.2727273,1,0.007919366,N,Yes,N,0,N,Bot
6247,1960,0.3137506,827,2635.851531,N,Yes,N,3,Yes,Real
2,503,251.5,1,0.003976143,N,N,N,0,N,Scam
13,6629,509.9230769,0,0,N,N,N,0,N,Bot
43593,455,0.010437456,341,32670.7978,N,N,N,3,N,Spam
137402,793,0.005771386,64,11089.19042,Yes,N,N,5,Yes,Spam
19056,511,0.026815701,298,11112.89237,N,Yes,N,15,Yes,Real
7,712,101.7142857,3,0.029494382,Yes,Yes,N,0,N,Scam
117174,900,0.007680885,205,26689.63333,Yes,Yes,N,8,N,Spam
42,492,11.71428571,0,0,N,Yes,N,0,N,Bot
5,520,104,1,0.009615385,N,N,N,0,N,Scam
4,607,151.75,3,0.019769357,N,Yes,N,0,N,Scam
2,162,81,1,0.012345679,N,Yes,N,0,N,Scam
2,5377,2688.5,1,0.000371955,N,Yes,N,0,N,Bot
86132,619,0.007186644,186,25881.3441,Yes,Yes,Yes,7,N,Spam
6960,1933,0.277729885,1312,4724.014485,N,Yes,Yes,9,Yes,Real
15349,1268,0.082611245,1748,21159.347,N,Yes,N,2,Yes,Real
159505,108,0.000677095,646,954076.2037,Yes,N,Yes,6,Yes,Spam
6688,2078,0.310705742,1967,6330.748797,N,N,Yes,11,N,Real
124216,693,0.005578991,267,47858.11255,N,Yes,Yes,8,Yes,Spam
7,563,80.42857143,1,0.012433393,N,Yes,N,0,N,Scam
3,16,5.333333333,2,0.375,Yes,Yes,N,0,N,Scam
4,536,134,1,0.007462687,Yes,N,N,0,N,Scam
1,747,747,4,0.005354752,N,N,N,0,N,Scam
127118,80,0.000629337,601,954973.975,Yes,Yes,N,9,Yes,Spam
45,4167,92.6,0,0,N,N,N,0,N,Bot
15,1248,83.2,0,0,N,N,N,0,N,Bot
115541,448,0.003877411,729,188012.029,Yes,Yes,Yes,6,Yes,Spam
17301,660,0.038148084,237,6212.631818,Yes,Yes,Yes,3,Yes,Spam
803,569,0.708592777,2418,3412.397188,Yes,Yes,Yes,12,N,Real
37,6281,169.7567568,0,0,N,N,N,0,N,Bot
1309,1229,0.938884645,645,686.9853539,Yes,N,Yes,3,Yes,Real
75165,92,0.001223974,731,597234.9457,N,Yes,N,2,Yes,Spam
11,1912,173.8181818,1,0.005753138,N,Yes,N,0,N,Bot
2,287,143.5,4,0.027874564,Yes,N,N,0,N,Scam
8497,881,0.103683653,1343,12952.86152,N,N,N,13,N,Real
17298,1897,0.109665857,1302,11872.42804,Yes,Yes,N,10,N,Real
38,4863,127.9736842,0,0,N,Yes,N,0,N,Bot
3,734,244.6666667,1,0.004087193,N,Yes,N,0,N,Bot
8,2164,270.5,2,0.007393715,N,Yes,N,0,N,Bot
1,462,462,3,0.006493506,N,Yes,N,0,N,Scam
3,658,219.3333333,4,0.018237082,N,N,N,0,N,Scam
48945,255,0.00520993,521,100001.3529,Yes,N,N,2,N,Spam
50523,453,0.008966213,111,12379.80795,N,Yes,Yes,4,N,Spam
2,395,197.5,0,0,N,Yes,N,0,N,Scam
0,640,#DIV/0!,2,#DIV/0!,N,N,N,0,N,Scam
12906,341,0.026421819,608,23011.28446,N,N,Yes,14,Yes,Real
45,242,5.377777778,0,0,N,N,N,0,N,Bot
6739,1413,0.209675026,1690,8060.092003,Yes,N,N,4,Yes,Real
10,1208,120.8,0,0,N,N,N,0,N,Bot
22,3210,145.9090909,0,0,N,N,N,0,N,Bot
7262,1067,0.146929221,1693,11522.55483,Yes,Yes,N,15,N,Real
16812,1495,0.088924578,147,1653.086288,yes,N,N,2,N,Real
5,698,139.6,3,0.021489971,Yes,N,N,0,N,Scam
58452,701,0.011992746,500,41691.86876,Yes,N,N,3,N,Spam
2,1713,856.5,1,0.001167542,N,N,N,0,N,Bot
11,6345,576.8181818,0,0,N,Yes,N,0,N,Bot
22,4703,213.7727273,1,0.004677865,N,Yes,N,0,N,Bot
7,492,70.28571429,2,0.028455285,N,N,N,0,N,Scam
4,510,127.5,2,0.015686275,N,Yes,N,0,N,Scam
4005,325,0.081148564,2312,28490.95385,N,N,N,0,Yes,Real
17,1978,116.3529412,2,0.01718908,N,N,N,0,N,Bot
21779,423,0.019422379,696,35834.95035,yes,N,N,1,Yes,Real
3,233,77.66666667,2,0.025751073,N,N,N,0,N,Bot
33,4703,142.5151515,0,0,N,Yes,N,0,N,Bot
13,6405,492.6923077,0,0,N,N,N,0,N,Bot
29,5116,176.4137931,1,0.005668491,N,Yes,N,0,N,Bot
4707,1376,0.292330571,436,1491.462209,yes,N,N,8,N,Real
40,2431,60.775,0,0,N,Yes,N,0,N,Bot
58922,142,0.002409966,208,86308.28169,Yes,Yes,Yes,3,N,Spam
14,867,61.92857143,1,0.016147636,N,N,N,0,N,Bot
3093,40,0.012932428,606,46858.95,Yes,N,N,5,N,Real
109984,221,0.002009383,5,2488.325792,Yes,N,N,1,N,Spam
13200,936,0.070909091,63,888.4615385,Yes,N,Yes,9,Yes,Spam
21047,188,0.008932389,1372,153598.3191,N,N,Yes,2,N,Real
34,4080,120,1,0.008333333,N,N,N,0,N,Bot
5,394,78.8,4,0.050761421,N,Yes,N,0,N,Scam
20167,183,0.00907423,2412,265807.6721,N,N,Yes,1,Yes,Real
0,724,#DIV/0!,3,#DIV/0!,Yes,Yes,N,0,N,Scam
6,4265,710.8333333,2,0.002813599,N,N,N,0,N,Bot
37,3002,81.13513514,2,0.024650233,N,N,N,0,N,Bot
18,3528,196,1,0.005102041,N,Yes,N,0,N,Bot
4654,2065,0.44370434,1564,3524.869734,yes,N,Yes,7,Yes,Real
15538,470,0.030248423,323,10678.24255,Yes,N,Yes,7,N,Real
32831,160,0.004873443,399,81872.30625,Yes,N,Yes,2,Yes,Spam
5,269,53.8,4,0.074349442,Yes,Yes,N,0,N,Scam
20,1080,54,1,0.018518519,N,Yes,N,0,N,Bot
834,1689,2.025179856,26,12.8383659,Yes,N,Yes,5,N,Real
13,1149,88.38461538,0,0,N,N,N,0,N,Bot
12922,842,0.065160192,2345,35988.2304,Yes,Yes,N,3,N,Real
32,3722,116.3125,1,0.008597528,N,N,N,0,N,Bot
5,400,80,2,0.025,N,N,N,0,N,Scam
14127,306,0.02166065,1793,82776.83333,yes,Yes,Yes,0,Yes,Real
433,521,1.203233256,1607,1335.568138,N,N,Yes,12,N,Real
5,281,56.2,4,0.071174377,Yes,N,N,0,N,Scam
18247,191,0.010467474,295,28182.53927,Yes,N,N,7,Yes,Spam
16,4049,253.0625,2,0.007903186,N,N,N,0,N,Bot
7,218,31.14285714,1,0.032110092,Yes,Yes,N,0,N,Scam
17,3770,221.7647059,1,0.004509284,N,N,N,0,N,Bot
147925,716,0.004840291,308,63632.5419,Yes,Yes,N,3,Yes,Spam
34,4436,130.4705882,0,0,N,N,N,0,N,Bot
11511,2078,0.180522978,1817,10065.20067,N,Yes,Yes,5,Yes,Real
15491,124,0.008004648,1403,175273.1694,Yes,N,N,4,N,Real
128220,788,0.006145687,134,21803.90863,N,N,N,5,N,Spam
37,5859,158.3513514,1,0.006315071,N,Yes,N,0,N,Bot
6,414,69,3,0.043478261,Yes,Yes,N,0,N,Scam
80466,785,0.009755673,367,37619.13631,N,Yes,Yes,5,N,Spam
47715,266,0.005574767,718,128794.6241,N,N,Yes,2,N,Spam
14,423,30.21428571,2,0.066193853,N,N,N,0,N,Bot
22,1541,70.04545455,2,0.028552888,N,Yes,N,0,N,Bot
5,373,74.6,4,0.053619303,Yes,Yes,N,0,N,Scam
149180,482,0.003230996,249,77066.0166,Yes,N,N,3,Yes,Spam
48057,828,0.01722954,235,13639.36594,N,Yes,N,9,N,Spam
15814,310,0.019602884,474,24180.11613,yes,N,N,7,N,Real
111042,1015,0.009140686,719,78659.30837,N,Yes,N,2,N,Spam
0,1285,#DIV/0!,1,#DIV/0!,N,Yes,N,0,N,Bot
37,4634,125.2432432,1,0.007984463,N,Yes,N,0,N,Bot
4,482,120.5,1,0.008298755,N,N,N,0,N,Scam
17,3987,234.5294118,0,0,N,N,N,0,N,Bot
38595,136,0.003523773,400,113514.7059,N,N,Yes,6,Yes,Spam
13799,412,0.029857236,93,3114.822816,Yes,Yes,Yes,5,Yes,Spam
16254,844,0.05192568,454,8743.265403,N,N,Yes,7,N,Spam
47651,264,0.005540282,493,88984.63258,Yes,Yes,Yes,9,N,Spam
2,738,369,0,0,Yes,Yes,N,0,N,Scam
30,3751,125.0333333,0,0,N,N,N,0,N,Bot
155453,407,0.002618155,447,170730.9361,N,N,Yes,0,N,Spam
14,3889,277.7857143,2,0.007199794,N,Yes,N,0,N,Bot
3,627,209,2,0.009569378,Yes,Yes,N,0,N,Scam
32,861,26.90625,1,0.037166086,N,Yes,N,0,N,Bot
38346,558,0.014551713,240,16492.90323,N,N,N,4,Yes,Spam
6,632,105.3333333,1,0.009493671,Yes,N,N,0,N,Scam
17,3880,228.2352941,2,0.008762887,N,Yes,N,0,N,Bot
751,485,0.645805593,128,198.2020619,Yes,N,Yes,13,Yes,Real
3,96,32,4,0.125,N,Yes,N,0,N,Scam
160679,105,0.000653477,105,160679,Yes,N,N,1,Yes,Spam
7,563,80.42857143,3,0.037300178,Yes,Yes,N,0,N,Scam
5,642,128.4,1,0.007788162,Yes,Yes,N,0,N,Scam
19593,301,0.01536263,2434,158436.4186,N,Yes,N,4,Yes,Real
99480,646,0.006493768,415,63907.43034,N,N,Yes,0,Yes,Spam
0,117,#DIV/0!,1,#DIV/0!,Yes,N,N,0,N,Scam
20,3008,150.4,2,0.013297872,N,Yes,N,0,N,Bot
40,2256,56.4,0,0,N,Yes,N,0,N,Bot
0,612,#DIV/0!,0,#DIV/0!,Yes,N,N,0,N,Scam
58561,1024,0.01748604,353,20187.53223,Yes,N,Yes,4,N,Spam
58266,130,0.002231147,357,160007.4,N,Yes,N,6,Yes,Spam
6640,378,0.056927711,782,13736.71958,Yes,Yes,N,8,Yes,Real
2626,1398,0.532368621,225,422.639485,yes,Yes,Yes,5,N,Real
10107,179,0.017710498,1334,75322.55866,Yes,Yes,N,3,Yes,Real
16506,2196,0.13304253,399,2999.040984,N,N,N,3,Yes,Real
11809,1934,0.163773393,754,4603.922441,yes,Yes,N,5,N,Real
155519,148,0.000951652,743,780747.4122,N,Yes,N,7,N,Spam
10638,1098,0.10321489,1392,13486.42623,N,N,Yes,2,N,Real
2,1948,974,2,0.002053388,N,Yes,N,0,N,Bot
4,567,141.75,2,0.014109347,N,Yes,N,0,N,Scam
1,405,405,4,0.009876543,Yes,Yes,N,0,N,Scam
2678,78,0.029126214,406,13939.33333,Yes,Yes,Yes,1,N,Real
4,21,5.25,4,0.761904762,N,N,N,0,N,Scam
18,4221,234.5,2,0.008528785,N,Yes,N,0,N,Bot
7,131,18.71428571,1,0.053435115,N,N,N,0,N,Scam
1194,604,0.505862647,281,555.486755,Yes,Yes,Yes,9,Yes,Spam
5,5494,1098.8,1,0.000910084,N,Yes,N,0,N,Bot
8037,1454,0.180913276,2232,12337.40303,Yes,N,N,11,N,Real
154700,723,0.004673562,601,128595.7123,N,Yes,Yes,5,N,Spam
11157,438,0.039257865,23,585.869863,Yes,N,Yes,12,N,Real
0,4739,#DIV/0!,2,#DIV/0!,N,N,N,0,N,Bot
5,766,153.2,4,0.026109661,N,Yes,N,0,N,Scam
0,129,#DIV/0!,3,#DIV/0!,Yes,N,N,0,N,Scam
3,32,10.66666667,1,0.09375,N,Yes,N,0,N,Scam
2478,1313,0.529862793,1418,2676.164509,Yes,Yes,N,7,Yes,Real
11,3074,279.4545455,2,0.007156799,N,N,N,0,N,Bot
19940,60,0.003009027,1650,548350,N,N,N,13,Yes,Real
60659,551,0.009083566,641,70567.00363,N,N,N,1,Yes,Spam
32,6073,189.78125,2,0.010538449,N,Yes,N,0,N,Bot
2739,1642,0.599488865,319,532.1199756,yes,Yes,Yes,11,Yes,Real
0,303,#DIV/0!,4,#DIV/0!,Yes,N,N,0,N,Scam
32552,924,0.028385353,84,2959.272727,N,N,N,8,Yes,Spam
7719,928,0.120222827,2510,20877.89871,Yes,Yes,Yes,6,Yes,Real
4568,334,0.073117338,527,7207.592814,Yes,N,Yes,8,Yes,Spam
8249,1708,0.207055401,532,2569.360656,Yes,N,Yes,3,N,Real
3,546,182,1,0.005494505,N,Yes,N,0,N,Scam
1,387,387,2,0.005167959,N,Yes,N,0,N,Scam
61316,691,0.011269489,484,42947.82055,Yes,N,Yes,6,Yes,Spam
24,1209,50.375,1,0.019851117,N,Yes,N,0,N,Bot
137410,145,0.001055236,337,319359.7931,Yes,N,Yes,1,Yes,Spam
43470,389,0.0089487,465,51962.85347,N,N,N,5,N,Spam
2014,1142,0.567030785,221,389.7495622,N,N,Yes,5,N,Real
10553,1021,0.096749739,140,1447.032321,N,Yes,N,14,N,Real
31,5259,169.6451613,2,0.011789314,N,Yes,N,0,N,Bot
6293,421,0.06689973,604,9028.437055,yes,N,Yes,10,Yes,Real
9,5971,663.4444444,2,0.00301457,N,N,N,0,N,Bot
2640,1253,0.474621212,1298,2734.81245,N,Yes,N,12,N,Real
143781,499,0.003470556,593,170865.998,N,N,Yes,2,N,Spam
33104,123,0.003715563,225,60556.09756,Yes,Yes,Yes,9,N,Spam
29601,517,0.017465626,374,21413.48936,N,N,Yes,0,Yes,Spam
120474,774,0.006424623,101,15720.76744,N,Yes,N,7,N,Spam
15887,601,0.037829672,984,26011.32779,N,Yes,Yes,9,Yes,Real
44,373,8.477272727,0,0,N,Yes,N,0,N,Bot
2,3077,1538.5,2,0.001299968,N,N,N,0,N,Bot
7,52,7.428571429,2,0.269230769,Yes,Yes,N,0,N,Scam
40,4741,118.525,1,0.008437039,N,Yes,N,0,N,Bot
6,357,59.5,1,0.016806723,Yes,N,N,0,N,Scam
6,587,97.83333333,1,0.010221465,N,N,N,0,N,Scam
1312,1305,0.994664634,1042,1047.589272,N,N,N,5,Yes,Real
0,722,#DIV/0!,0,#DIV/0!,Yes,Yes,N,0,N,Scam
3,100,33.33333333,3,0.09,Yes,N,N,0,N,Scam
35,4229,120.8285714,0,0,N,N,N,0,N,Bot
107178,521,0.004861072,493,101417.9539,N,Yes,Yes,8,Yes,Spam
7,328,46.85714286,1,0.021341463,N,Yes,N,0,N,Scam
17,4657,273.9411765,1,0.003650419,N,Yes,N,0,N,Bot
10673,1240,0.116181018,157,1351.339516,yes,Yes,Yes,0,N,Real
8,1211,151.375,1,0.006606111,N,Yes,N,0,N,Bot
22,2267,103.0454545,0,0,N,Yes,N,0,N,Bot
14217,1824,0.128297109,45,350.7483553,yes,N,Yes,5,N,Real
25257,651,0.025775033,215,8341.40553,N,Yes,N,2,Yes,Spam
99352,72,0.000724696,13,17938.55556,N,N,N,4,Yes,Spam
5,426,85.2,0,0,Yes,Yes,N,0,N,Scam
5283,427,0.080825289,345,4268.466042,Yes,Yes,N,2,Yes,Spam
23,2938,127.7391304,0,0,N,Yes,N,0,N,Bot
32,5737,179.28125,2,0.011155656,N,N,N,0,N,Bot
3,174,58,0,0,N,Yes,N,0,N,Scam
31,5154,166.2580645,0,0,N,Yes,N,0,N,Bot
6,636,106,4,0.037735849,Yes,N,N,0,N,Scam
125027,392,0.003135323,110,35084.10714,N,N,N,5,N,Spam
92972,228,0.002452351,331,134972.5088,Yes,Yes,N,2,N,Spam
17827,1596,0.089527122,1366,15257.94612,yes,N,N,9,Yes,Real
70151,621,0.008852333,95,10731.63446,N,Yes,Yes,3,Yes,Spam
10,3317,331.7,0,0,N,Yes,N,0,N,Bot
19,3762,198,2,0.01010101,N,Yes,N,0,N,Bot
62381,130,0.002083968,183,87813.25385,N,Yes,Yes,4,Yes,Spam
14234,783,0.055009133,844,15342.90677,Yes,Yes,N,9,N,Real
4377,1751,0.400045693,2265,5661.853227,N,Yes,N,13,N,Real
18,1150,63.88888889,1,0.015652174,N,Yes,N,0,N,Bot
63365,681,0.010747258,56,5210.631424,Yes,Yes,Yes,0,N,Spam
38,2306,60.68421053,1,0.016478751,N,N,N,0,N,Bot
3,242,80.66666667,0,0,N,Yes,N,0,N,Scam
536,1508,2.813432836,2324,826.0371353,N,Yes,N,4,Yes,Real
13781,1512,0.109716276,525,4785.069444,Yes,N,N,4,Yes,Real
13190,262,0.019863533,1874,94343.74046,Yes,Yes,N,10,Yes,Real
4,579,144.75,2,0.013816926,Yes,Yes,N,0,N,Scam
0,772,#DIV/0!,3,#DIV/0!,N,N,N,0,N,Scam
16273,752,0.046211516,5,108.1981383,Yes,N,Yes,7,Yes,Spam
1,518,518,4,0.007722008,Yes,Yes,N,0,N,Scam
2,184,92,1,0.010869565,N,N,N,0,N,Scam
16606,2122,0.127785138,1884,14743.49859,N,Yes,N,0,Yes,Real
14,799,57.07142857,1,0.017521902,N,N,N,0,N,Bot
140217,643,0.004585749,14,3052.936236,Yes,N,Yes,6,Yes,Spam
6,771,128.5,4,0.031128405,Yes,N,N,0,N,Scam
193,126,0.652849741,2551,3907.484127,N,N,N,1,N,Real
4,426,106.5,4,0.037558685,Yes,N,N,0,N,Scam
6,32,5.333333333,2,0.375,N,N,N,0,N,Scam
5,82,16.4,0,0,N,N,N,0,N,Scam
20,5740,287,1,0.003484321,N,Yes,N,0,N,Bot
11713,821,0.070093059,653,9316.186358,Yes,N,Yes,5,N,Spam
6646,2147,0.32305146,494,1529.168142,N,N,N,14,Yes,Real
6,467,77.83333333,4,0.051391863,N,Yes,N,0,N,Scam
6,511,85.16666667,4,0.046966732,N,Yes,N,0,N,Scam
35,856,24.45714286,2,0.081775701,N,N,N,0,N,Bot
41601,807,0.019398572,718,37013.03346,N,Yes,Yes,5,N,Spam
13,3550,273.0769231,1,0.003661972,N,Yes,N,0,N,Bot
48,838,17.45833333,0,0,N,N,N,0,N,Bot
17,5865,345,1,0.002898551,N,N,N,0,N,Bot
34,6639,195.2647059,1,0.005121253,N,Yes,N,0,N,Bot
94246,828,0.008785519,350,39838.28502,N,Yes,Yes,7,N,Spam
89600,246,0.002745536,133,48442.27642,Yes,Yes,N,3,N,Spam
4,650,162.5,1,0.006153846,N,Yes,N,0,N,Scam
35607,990,0.027803522,732,26327.6,Yes,N,Yes,7,N,Spam
91097,785,0.008617188,534,61969.16943,N,N,N,4,N,Spam
56901,990,0.01739864,194,11150.29697,Yes,N,Yes,8,Yes,Spam
8,2465,308.125,2,0.006490872,N,Yes,N,0,N,Bot
18,6343,352.3888889,2,0.005675548,N,N,N,0,N,Bot
5,209,41.8,1,0.023923445,Yes,N,N,0,N,Scam
20026,1935,0.096624388,504,5216.074419,yes,N,Yes,9,Yes,Real
19,1854,97.57894737,0,0,N,Yes,N,0,N,Bot
